                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    101,                0.93526,                0.47335,                 0.8514,                  0.971,                0.95689,                0.98736,                0.75369,                 1.0119,                0.48411,                0.82876,              0.0038744,              0.0038744,              0.0038744
                    102,                0.93773,                0.47548,                0.85136,                0.97297,                0.95311,                  0.987,                0.76128,                0.97486,                0.47344,                0.82595,              0.0038125,              0.0038125,              0.0038125
                    103,                0.93214,                0.47118,                0.85023,                0.97489,                0.96028,                0.98847,                0.75875,                0.97211,                0.46968,                0.82598,              0.0037506,              0.0037506,              0.0037506
                    104,                0.93317,                 0.4725,                0.85215,                0.97125,                0.96656,                0.98856,                0.75995,                0.97097,                0.46988,                0.82591,              0.0036888,              0.0036888,              0.0036888
                    105,                0.93243,                0.47197,                 0.8514,                0.97573,                0.96301,                0.98892,                0.76341,                0.96504,                0.46828,                0.82498,              0.0036269,              0.0036269,              0.0036269
                    106,                0.93215,                0.47177,                0.85052,                0.96801,                0.96629,                0.98822,                0.75972,                0.98439,                0.47048,                0.82657,               0.003565,               0.003565,               0.003565
                    107,                0.92343,                0.46864,                0.84917,                0.96742,                0.96187,                 0.9875,                0.75785,                0.98926,                0.47035,                0.82677,              0.0035031,              0.0035031,              0.0035031
                    108,                0.92623,                0.46641,                0.85144,                0.96644,                0.97088,                 0.9875,                0.75948,                0.98743,                0.47217,                0.82647,              0.0034413,              0.0034413,              0.0034413
                    109,                0.92183,                0.46565,                0.84993,                 0.9732,                0.96575,                 0.9886,                0.76071,                0.97774,                0.46798,                0.82562,              0.0033794,              0.0033794,              0.0033794
                    110,                0.91933,                0.46219,                0.84589,                0.97073,                0.96038,                0.98765,                0.75667,                0.99213,                0.47293,                0.82756,              0.0033175,              0.0033175,              0.0033175
                    111,                 0.9247,                0.46513,                0.84913,                0.96847,                0.96825,                0.98792,                0.76353,                0.97935,                0.46759,                0.82574,              0.0032556,              0.0032556,              0.0032556
                    112,                 0.9179,                0.46246,                0.84899,                0.96697,                0.96659,                0.98772,                0.75771,                0.99284,                0.47161,                0.82697,              0.0031938,              0.0031938,              0.0031938
                    113,                0.91062,                 0.4591,                0.84781,                0.96587,                0.96757,                0.98745,                0.76689,                0.95433,                0.46197,                0.82352,              0.0031319,              0.0031319,              0.0031319
